pocket,chembl_id,name,dG_mean,dG_sd,n_frames,LE,CNS_MPO_5,CNS_MPO_6,MW,LogP,TPSA,HBD,HBA,HAC,smiles,RotBonds,Lipinski_viol,logBBB_pred,PAINS_alert,PAINS_detail,Brenk_alert,pass_admet
S1_site1813,CHEMBL654,MIRTAZAPINE,-20.13,3.32,101,1.007,4.84,5.81,265.16,2.48,19.4,0.0,3.0,20,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0,0,0.229,0,,0,1
S3_site473,CHEMBL797,PHENSUXIMIDE,-20.08,3.19,101,1.435,5.0,6.0,189.08,1.16,37.4,0.0,2.0,14,CN1C(=O)CC(c2ccccc2)C1=O,1,0,-0.238,0,,1,1
S1_site680,CHEMBL494753,ESTRONE SULFURIC ACID,-20.02,3.29,101,0.834,3.91,4.7,350.12,3.29,80.7,1.0,4.0,24,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,2,0,-0.555,0,,1,1
S1_site688,CHEMBL3137320,TALAZOPARIB,-20.0,2.88,101,0.714,3.67,4.41,380.12,2.63,88.5,2.0,5.0,28,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,2,0,-0.771,0,,0,1
S1_site1813,CHEMBL1479,DANAZOL,-19.89,2.74,101,0.796,3.48,4.18,337.2,4.22,46.3,1.0,3.0,25,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0,0,0.095,0,,1,0
S3_site473,CHEMBL1479,DANAZOL,-19.89,3.64,101,0.796,3.48,4.18,337.2,4.22,46.3,1.0,3.0,25,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0,0,0.095,0,,1,0
S1_site688,CHEMBL1162,NORETHINDRONE,-19.73,2.11,101,0.897,4.09,4.91,298.19,3.49,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0,0,0.117,0,,1,0
S1_site1813,CHEMBL5315055,NALMEFENE HYDROCHLORIDE DIHYDRATE,-19.69,2.55,101,0.788,4.33,5.2,339.18,2.51,52.9,2.0,4.0,25,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,2,0,-0.262,0,,1,0
S1_site688,CHEMBL1387,NORETHYNODREL,-19.6,2.89,101,0.891,3.97,4.76,298.19,3.64,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0,0,0.14,0,,1,0
S3_site473,CHEMBL1214124,PERAMPANEL,-19.56,2.61,101,0.725,3.47,4.16,349.12,4.44,58.7,0.0,3.0,27,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,3,0,-0.055,0,,0,0
S3_site473,CHEMBL1371,CHLORZOXAZONE,-19.36,2.33,101,1.76,4.83,5.8,168.99,1.77,46.0,1.0,2.0,11,O=c1[nH]c2cc(Cl)ccc2o1,0,0,-0.273,0,,0,0
S1_site1813,CHEMBL691,ETHINYL ESTRADIOL,-19.33,3.11,101,0.879,3.66,4.39,296.18,3.61,40.5,2.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0,0,0.088,0,,1,0
S3_site473,CHEMBL918,PHENACEMIDE,-19.32,2.47,101,1.486,4.3,5.16,178.07,0.42,72.2,2.0,2.0,13,NC(=O)NC(=O)Cc1ccccc1,2,0,-0.866,0,,0,0
S1_site688,CHEMBL63857,PHENOLPHTHALEIN,-19.31,3.53,101,0.805,3.59,4.3,318.09,3.56,66.8,2.0,4.0,24,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,2,0,-0.309,0,,0,0
S1_site1813,CHEMBL33986,BUTORPHANOL,-19.21,2.93,101,0.8,3.86,4.63,327.22,3.37,43.7,2.0,3.0,24,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,2,0,0.004,0,,0,0
S1_site680,CHEMBL521686,OLAPARIB,-19.14,3.33,101,0.598,3.75,4.5,434.18,2.35,86.4,1.0,4.0,32,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,4,0,-0.783,0,,0,0
S1_site1813,CHEMBL799,CILOSTAZOL,-19.08,3.69,101,0.707,3.69,4.42,369.22,3.46,81.9,1.0,5.0,27,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,7,0,-0.547,0,,1,0
S1_site680,CHEMBL1214124,PERAMPANEL,-19.07,2.35,101,0.706,3.47,4.16,349.12,4.44,58.7,0.0,3.0,27,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,3,0,-0.055,0,,0,0
S1_site680,CHEMBL1657,TAZAROTENE,-18.93,3.88,101,0.757,3.48,4.17,351.13,4.43,39.2,0.0,4.0,25,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,2,0,0.232,0,,1,0
S1_site1813,CHEMBL1387,NORETHYNODREL,-18.79,3.07,101,0.854,3.97,4.76,298.19,3.64,37.3,1.0,2.0,22,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0,0,0.14,0,,1,0
S1_site680,CHEMBL1094636,NIRAPARIB,-18.68,6.22,101,0.778,4.09,4.91,320.16,2.59,72.9,2.0,3.0,24,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,3,0,-0.546,0,,0,0
S1_site680,CHEMBL3039502,DUVELISIB,-18.15,3.97,101,0.605,2.06,2.47,416.12,4.48,88.5,2.0,5.0,30,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,4,0,-0.49,0,,0,0
S1_site688,CHEMBL494753,ESTRONE SULFURIC ACID,-18.11,5.43,101,0.755,3.91,4.7,350.12,3.29,80.7,1.0,4.0,24,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,2,0,-0.555,0,,1,0
S3_site473,CHEMBL1076903,VARENICLINE,-18.02,3.14,101,1.126,4.83,5.8,211.11,1.8,37.8,1.0,3.0,16,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,0,0,-0.147,0,,0,0
S1_site1813,CHEMBL1113,AMOXAPINE,-18.01,2.24,101,0.819,4.14,4.97,313.1,3.43,36.9,1.0,4.0,22,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,0,0,0.114,0,,0,0
S1_site688,CHEMBL90593,PRASTERONE,-17.93,3.02,101,0.854,3.77,4.52,288.21,3.88,37.3,1.0,2.0,21,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0,0,0.177,0,,1,0
S1_site1813,CHEMBL1057,FLUORESCEIN,-17.89,2.65,101,0.716,3.34,4.01,332.07,3.67,76.0,2.0,5.0,25,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,0,0,-0.428,0,,0,0
S1_site680,CHEMBL340978,BENOXAPROFEN,-17.86,2.62,101,0.851,3.33,3.99,301.05,4.34,63.3,1.0,3.0,21,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,3,0,-0.138,0,,0,0
S1_site688,CHEMBL1108,DROPERIDOL,-17.81,2.28,101,0.636,3.8,4.56,379.17,3.68,58.1,1.0,3.0,28,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,6,0,-0.162,0,,0,0
S1_site680,CHEMBL94454,MIZOLASTINE,-17.79,4.09,101,0.556,3.47,4.17,432.21,3.41,70.1,1.0,5.0,32,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,5,0,-0.38,0,,0,0
S1_site680,CHEMBL1289926,AXITINIB,-17.31,5.33,101,0.618,2.44,2.92,386.12,4.64,70.7,2.0,4.0,28,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,5,0,-0.202,0,,0,0
S1_site680,CHEMBL3188267,CAPMATINIB,-17.26,5.19,101,0.557,3.35,4.02,412.14,3.43,85.1,1.0,5.0,31,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,4,0,-0.599,0,,0,0
S1_site688,CHEMBL1627367,FLUOROESTRADIOL,-17.12,4.1,101,0.815,3.7,4.44,290.17,3.56,40.5,2.0,2.0,21,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](F)[C@@H]2O,0,0,0.081,0,,0,0
S1_site688,CHEMBL1057,FLUORESCEIN,-17.1,3.45,101,0.684,3.34,4.01,332.07,3.67,76.0,2.0,5.0,25,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,0,0,-0.428,0,,0,0
S1_site680,CHEMBL1720,PALONOSETRON HYDROCHLORIDE,-16.78,3.54,101,0.763,4.78,5.74,296.19,2.66,23.6,0.0,2.0,22,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,1,0,0.194,0,,0,0
S1_site680,CHEMBL3039520,LASMIDITAN,-16.77,2.69,101,0.621,4.11,4.93,377.14,3.28,62.3,1.0,4.0,27,CN1CCC(C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)n2)CC1,4,0,-0.284,0,,0,0
S1_site680,CHEMBL1200907,TRILOSTANE,-16.6,3.3,101,0.692,3.5,4.19,329.2,3.47,76.8,2.0,4.0,24,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,0,0,-0.47,0,,1,0
S1_site688,CHEMBL1422,SITAGLIPTIN,-16.36,2.61,101,0.584,4.21,5.05,407.12,2.02,77.0,1.0,4.0,28,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,4,0,-0.694,0,,1,0
S1_site688,CHEMBL12713,SERTINDOLE,-16.28,4.12,101,0.525,2.57,3.08,440.18,4.63,40.5,1.0,2.0,31,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,5,0,0.243,0,,0,0
S1_site688,CHEMBL3233142,LUMATEPERONE TOSYLATE,-16.24,3.37,101,0.56,3.66,4.4,393.22,3.92,26.8,0.0,4.0,29,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12,5,0,0.338,0,,0,0
S3_site473,CHEMBL1201731,NEBIVOLOL HYDROCHLORIDE,-16.24,2.95,101,0.56,3.54,4.25,405.18,2.36,71.0,3.0,5.0,29,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,6,0,-0.553,0,,0,0
S1_site1813,CHEMBL193482,ESTRIOL,-15.97,2.91,101,0.76,3.96,4.75,288.17,2.58,60.7,3.0,3.0,21,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,0,0,-0.367,0,,0,0
S3_site473,CHEMBL1200599,DIFENOXIN HYDROCHLORIDE,-15.97,3.9,101,0.499,2.3,2.76,424.22,5.0,64.3,1.0,3.0,32,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,7,0,-0.053,0,,0,0
S3_site473,CHEMBL1200803,SOLIFENACIN SUCCINATE,-15.88,3.67,101,0.588,3.93,4.72,362.2,3.86,32.8,0.0,3.0,27,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,2,0,0.24,0,,0,0
S1_site688,CHEMBL1257073,TECOVIRIMAT,-15.54,2.46,101,0.576,4.48,5.37,376.1,2.4,66.5,1.0,3.0,27,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,2,0,-0.48,0,,1,0
S1_site688,CHEMBL6437,MIANSERIN,-15.38,2.8,101,0.769,4.6,5.52,264.16,3.08,6.5,0.0,2.0,20,CN1CCN2c3ccccc3Cc3ccccc3C2C1,0,0,0.511,0,,0,0
S3_site473,CHEMBL1200607,PERFLEXANE,-15.3,2.36,101,0.765,3.29,3.95,337.98,4.65,0.0,0.0,0.0,20,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,0,0.846,0,,1,0
S1_site680,CHEMBL1678,DONEPEZIL HYDROCHLORIDE,-15.25,2.97,101,0.545,3.4,4.08,379.21,4.36,38.8,0.0,4.0,28,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,6,0,0.227,0,,0,0
S1_site680,CHEMBL3989922,NIRAPARIB TOSYLATE MONOHYDRATE,-15.04,3.87,101,0.627,4.09,4.91,320.16,2.59,72.9,2.0,3.0,24,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,3,0,-0.546,0,,0,0
S1_site688,CHEMBL1405,ESTRONE,-14.56,3.0,101,0.728,3.82,4.58,270.16,3.82,37.3,1.0,2.0,20,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,0,0,0.168,0,,0,0
S1_site680,CHEMBL1200980,ESTROPIPATE,-14.35,3.49,101,0.598,3.91,4.7,350.12,3.29,80.7,1.0,4.0,24,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,2,0,-0.555,0,,1,0
S1_site688,CHEMBL5315121,TECOVIRIMAT MONOHYDRATE,-14.19,1.73,101,0.526,4.48,5.37,376.1,2.4,66.5,1.0,3.0,27,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,2,0,-0.48,0,,1,0
S1_site680,CHEMBL42,CLOZAPINE,-14.17,3.31,101,0.616,3.9,4.68,326.13,3.72,30.9,1.0,4.0,23,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0,0,0.247,0,,0,0
S3_site473,CHEMBL245807,OXYPHENISATINE,-14.11,3.65,101,0.588,3.36,4.03,317.11,3.38,69.6,3.0,3.0,24,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,2,0,-0.377,0,,0,0
S3_site473,CHEMBL3188267,CAPMATINIB,-14.1,5.5,101,0.455,3.35,4.02,412.14,3.43,85.1,1.0,5.0,31,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,4,0,-0.599,0,,0,0
S1_site1813,CHEMBL1716,CYPROHEPTADINE HYDROCHLORIDE,-13.76,3.63,101,0.626,3.25,3.9,287.17,4.7,3.2,0.0,1.0,22,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,0,0,0.806,0,,1,0
S1_site680,CHEMBL3545253,FLORTAUCIPIR F 18,-13.66,2.88,101,0.683,3.73,4.48,262.09,3.92,41.6,1.0,2.0,20,[18F]c1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1,1,0,0.119,0,,1,0
S1_site680,CHEMBL5315121,TECOVIRIMAT MONOHYDRATE,-13.53,4.36,101,0.501,4.48,5.37,376.1,2.4,66.5,1.0,3.0,27,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,2,0,-0.48,0,,1,0
S1_site680,CHEMBL1257073,TECOVIRIMAT,-13.5,2.71,101,0.5,4.48,5.37,376.1,2.4,66.5,1.0,3.0,27,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,2,0,-0.48,0,,1,0
S3_site473,CHEMBL1899801,PERFLENAPENT,-13.4,2.05,101,0.788,3.82,4.58,287.98,4.02,0.0,0.0,0.0,17,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,0,0.75,0,,1,0
S3_site473,CHEMBL3137320,TALAZOPARIB,-13.37,3.48,101,0.477,3.67,4.41,380.12,2.63,88.5,2.0,5.0,28,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,2,0,-0.771,0,,0,0
S1_site1813,CHEMBL63857,PHENOLPHTHALEIN,-13.3,2.4,101,0.554,3.59,4.3,318.09,3.56,66.8,2.0,4.0,24,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,2,0,-0.309,0,,0,0
S3_site473,CHEMBL94454,MIZOLASTINE,-12.68,2.62,101,0.396,3.47,4.17,432.21,3.41,70.1,1.0,5.0,32,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,5,0,-0.38,0,,0,0
S1_site680,CHEMBL503,LOVASTATIN,-12.07,4.1,101,0.416,2.97,3.56,404.26,4.2,72.8,1.0,5.0,29,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,6,0,-0.3,0,,0,0
S3_site473,CHEMBL5315121,TECOVIRIMAT MONOHYDRATE,-11.92,2.95,101,0.441,4.48,5.37,376.1,2.4,66.5,1.0,3.0,27,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,2,0,-0.48,0,,1,0
S1_site1813,CHEMBL6437,MIANSERIN,-11.86,3.26,101,0.593,4.6,5.52,264.16,3.08,6.5,0.0,2.0,20,CN1CCN2c3ccccc3Cc3ccccc3C2C1,0,0,0.511,0,,0,0
S3_site473,CHEMBL85,RISPERIDONE,-11.45,2.27,101,0.382,3.75,4.5,410.21,3.59,64.2,0.0,5.0,30,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,4,0,-0.265,0,,0,0
S3_site473,CHEMBL42,CLOZAPINE,-11.4,2.7,101,0.496,3.9,4.68,326.13,3.72,30.9,1.0,4.0,23,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0,0,0.247,0,,0,0
S3_site473,CHEMBL1257073,TECOVIRIMAT,-10.52,2.51,101,0.39,4.48,5.37,376.1,2.4,66.5,1.0,3.0,27,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,2,0,-0.48,0,,1,0
S1_site688,CHEMBL6068334,SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE,-10.14,3.81,101,0.362,4.21,5.05,407.12,2.02,77.0,1.0,4.0,28,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,4,0,-0.694,0,,1,0
S1_site688,CHEMBL1200980,ESTROPIPATE,-9.92,5.75,101,0.413,3.91,4.7,350.12,3.29,80.7,1.0,4.0,24,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,2,0,-0.555,0,,1,0
S1_site680,CHEMBL118,CELECOXIB,-9.66,5.17,101,0.372,3.62,4.35,381.08,3.51,78.0,1.0,3.0,26,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3,0,-0.482,0,,0,0
S1_site680,CHEMBL1479,DANAZOL,-9.4,3.36,101,0.376,3.48,4.18,337.2,4.22,46.3,1.0,3.0,25,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0,0,0.095,0,,1,0
S3_site473,CHEMBL1402684,OXYPHENISATIN ACETATE,-7.78,3.32,101,0.259,3.16,3.79,401.13,3.82,81.7,1.0,5.0,30,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,4,0,-0.49,0,,1,0
S1_site1813,CHEMBL1106,EPINASTINE,0.0,0.0,101,-0.0,4.68,5.61,249.13,2.47,41.6,1.0,3.0,19,NC1=NCC2c3ccccc3Cc3ccccc3N12,0,0,-0.101,0,,0,0
S1_site1813,CHEMBL1201132,NALBUPHINE HYDROCHLORIDE,0.0,0.0,101,-0.0,3.95,4.74,357.19,1.71,73.2,3.0,5.0,26,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,2,0,-0.684,0,,0,0
S1_site1813,CHEMBL1395,METHYLTESTOSTERONE,0.0,0.0,101,-0.0,3.44,4.13,302.22,4.27,37.3,1.0,2.0,22,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0,0,0.236,0,,0,0
S1_site1813,CHEMBL1463345,CANRENONE,0.0,0.0,101,-0.0,3.52,4.23,340.2,4.37,43.4,0.0,3.0,25,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,0,0,0.161,0,,0,0
S1_site1813,CHEMBL1720,PALONOSETRON HYDROCHLORIDE,0.0,0.0,101,-0.0,4.78,5.74,296.19,2.66,23.6,0.0,2.0,22,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,1,0,0.194,0,,0,0
S1_site1813,CHEMBL245807,OXYPHENISATINE,0.0,0.0,101,-0.0,3.36,4.03,317.11,3.38,69.6,3.0,3.0,24,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,2,0,-0.377,0,,0,0
S1_site1813,CHEMBL3137320,TALAZOPARIB,0.0,0.0,101,-0.0,3.67,4.41,380.12,2.63,88.5,2.0,5.0,28,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,2,0,-0.771,0,,0,0
S1_site1813,CHEMBL982,NALMEFENE,0.0,0.0,101,-0.0,4.33,5.2,339.18,2.51,52.9,2.0,4.0,25,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,2,0,-0.262,0,,1,0
